,Date,Real_date,PT,ES,IT,IE,GR,DE,PT._spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Open_BCP,High_BCP,Low_BCP,Close_BCP,Volume_BCP,AdjClose_BCP,Date_Real,BCP_var,BCP_traded_volume,Open_BPI,High_BPI,Low_BPI,Close_BPI,Volume_BPI,AdjClose_BPI,BPI_var,BPI_traded_volume,Open_BES,High_BES,Low_BES,Close_BES,Volume_BES,AdjClose_BES,BES_var,BES_traded_volume
2194,17/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12001,2.12363,2.10914,2.11639,9281900,1.88065,17/01/00,0.973307101,19644120.34,4.2949,4.2949,4.2949,4.2949,0,3.78702,0.697651452,0,15.8223,15.8223,15.8223,15.8223,0,11.60233,0.98965725,0
2332,18/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11639,2.13813,2.11639,2.13813,13623300,1.89997,18/01/00,0.97378906,29128386.43,4.2949,4.2949,4.2949,4.2949,0,3.78702,0.70002799,0,15.7732,15.7732,15.7732,15.7732,0,11.56633,0.989625058,0
2470,19/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13813,2.14175,2.10914,2.11276,13665800,1.87742,19/01/00,0.972781796,28872555.61,4.2949,4.2949,3.93374,3.98255,12295500,3.51161,0.665395645,48967443.53,16.084,16.084,15.517,15.6751,1471100,11.49439,0.989560125,23059639.61
2607,20/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10914,2.10914,2.09102,2.09827,13497200,1.86455,20/01/00,0.961867475,28320769.84,4.02159,4.05088,3.93374,4.02159,8374700,3.54603,0.704458225,33679609.77,15.6478,15.6478,15.2771,15.4352,841500,11.31848,0.98939787,12988720.8
2744,21/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09464,2.10189,2.08377,2.08739,8565700,1.85488,21/01/00,0.949285129,17879956.52,3.99231,4.02159,3.98255,4.00207,2013500,3.52882,0.651441558,8058167.945,15.4297,15.5388,15.2716,15.4733,158400,11.34642,0.919310232,2450970.72
3154,24/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09827,2.10189,2.08377,2.10189,5846200,1.86776,24/01/00,0.972266244,12288069.32,4.02159,4.02159,3.9435,3.96302,1416200,3.49439,0.665177613,5612428.924,15.457,15.5388,15.3207,15.4679,306500,11.34246,0.989420284,4740911.35
3291,25/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09464,2.12001,2.09464,2.12001,5323200,1.88386,25/01/00,0.972450182,11285237.23,3.93374,3.96302,3.8947,3.90446,1740800,3.44275,0.663060054,6796883.968,15.3207,15.4025,15.0208,15.1844,264700,11.13457,0.989222754,4019310.68
3427,26/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13451,2.13813,2.12726,2.13813,9873300,1.89997,26/01/00,0.972683779,21110398.93,3.91422,3.9435,3.91422,3.91422,1553800,3.45136,0.663900607,6081915.036,15.2607,15.3207,15.0917,15.2825,843500,11.2065,0.989291929,12890788.75
3562,27/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13088,2.13813,2.11276,2.13088,8406200,1.89352,27/01/00,0.962239638,17912603.46,3.9435,3.9435,3.8947,3.8947,1242400,3.43414,0.696576144,4838775.28,15.2389,15.2607,15.0045,15.1026,372200,11.07459,0.989164384,5621187.72
3699,28/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12001,2.12001,2.10189,2.10189,8661300,1.86776,28/01/00,0.943236818,18205099.86,3.8947,3.90446,3.82637,3.88494,2258000,3.42554,0.638013277,8772194.52,14.9936,14.9936,14.7373,14.83,578800,10.87469,0.913067867,8583604
4090,31/01/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08377,2.08739,2.06565,2.07652,5883500,1.84522,31/01/00,0.973824259,12217205.42,3.85565,3.85565,3.81661,3.85565,1465600,3.39971,0.677325419,5650840.64,14.8845,14.8845,14.6719,14.77,1693100,10.83069,0.988920373,25007087
12,01/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06565,2.07652,2.0584,2.07652,5494100,1.84522,01/02/00,0.973499095,11408608.53,3.85565,3.88494,3.83613,3.83613,1090200,3.3825,0.677457502,4182148.926,14.7428,14.9009,14.6937,14.8027,626300,10.85467,0.98894485,9270931.01
147,02/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06565,2.07652,2.0584,2.06927,6411700,1.83878,02/02/00,0.961768129,13267538.46,3.87517,3.88494,3.82637,3.88494,1541000,3.42554,0.694354759,5986692.54,14.8027,14.8845,14.7482,14.8845,528500,10.91465,0.989005603,7866458.25
